"Source:","/home/animeman/Documents/GitHub/CVBS-Ossiliscope-Monitor/tht/cvbs-oscilloscope-meter.kicad_sch"
"Date:","Mon 06 Jun 2022 10:54:27 PM EDT"
"Tool:","Eeschema 6.0.5"
"Generator:","/app/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","54"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"5","4","C6, C8, C11, C16","10u","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"6","3","C7, C10, C17","0.1u","Device:C_Small","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"7","1","C9","0.33u","Device:C_Small","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","~"
"8","2","D1, D2","1N4148","Device:D_Filled","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"9","1","D3","Indicator","Device:LED_Filled","LED_THT:LED_D5.0mm","~"
"10","4","J1, J2, J3, J4","Conn_Coaxial_Power","Connector:Conn_Coaxial_Power","Connector_Coaxial:BNC_TEConnectivity_1478035_Horizontal","~"
"11","1","J5","Barrel_Jack_Switch","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","~"
"12","1","J6","Molex 3.96mm","Connector_Generic:Conn_01x02","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical","~"
"13","1","L1","22u","Device:L","Inductor_THT:L_Axial_L11.0mm_D4.5mm_P15.24mm_Horizontal_Fastron_MECC","~"
"14","4","MK1, MK2, MK3, MK4","MountingHole_Pad","Mechanical:MountingHole_Pad","Mounting_Holes:MountingHole_3.2mm_M3_ISO7380","~"
"15","2","Q1, Q2","2N3906","Transistor_BJT:2N3906","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF"
"16","4","Q3, Q4, Q5, Q6","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"17","2","R1, R2","6.8k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"18","1","R3","180","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"19","1","R4","5.6k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"20","3","R5, R12, R13","2.2k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"21","3","R6, R10, R11","3.3k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"22","1","R7","680k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"23","2","R8, R15","68k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"24","1","R9","680","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"25","1","R14","4.7k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"26","1","R16","2.4k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"27","1","RV1","1k","Device:R_Potentiometer_US","Potentiometer_THT:Potentiometer_Piher_PC-16_Single_Vertical","~"
"28","1","RV2","10k","Device:R_Potentiometer_US","Potentiometer_THT:Potentiometer_Piher_PC-16_Single_Vertical","~"
"29","1","U1","LM1881","Video:LM1881","Package_DIP:DIP-8_W7.62mm_Socket_LongPads",""
"30","1","U2","AD8032","Device:Opamp_Dual","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","~"
"31","1","U3","LM7809_TO220","Regulator_Linear:LM7809_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
